Plan,name,Min,Max,cost,Annual,Send,PPS,
$0,Starter,0,100,$0,$0,unlimited,0,
$49,Basic,101,"2,500",$49,$490,unlimited,$0.0204,
$99,Pro,"2,501","5,000",$99,$990,unlimited,$0.0200,
$149,Business**,"5,001","10,000",$149,"$1,490",unlimited,$0.0100,
$199,High Volume,"10,001","15,000",$199,"$1,990","180,000",$0.0100,
$249,High Volume,"15,001","20,000",$249,"$2,490","240,000",$0.0100,
$299,High Volume,"20,001","25,000",$299,"$2,990","300,000",$0.0100,
$349,High Volume,"25,001","30,000",$349,"$3,490","360,000",$0.0100,
$399,High Volume,"30,001","35,000",$399,"$3,990","420,000",$0.0100,
$449,High Volume,"35,001","40,000",$449,"$4,490","480,000",$0.0100,
$499,High Volume,"40,001","45,000",$499,"$4,990","540,000",$0.0100,
$549,High Volume,"45,001","50,000",$549,"$5,490","600,000",$0.0100,
$599,High Volume,"50,001","55,000",$599,"$5,990","660,000",$0.0100,
$649,High Volume,"55,001","60,000",$649,"$6,490","720,000",$0.0100,
$699,High Volume,"60,001","65,000",$699,"$6,990","780,000",$0.0100,
$749,High Volume,"65,001","70,000",$749,"$7,490","840,000",$0.0100,
$799,High Volume,"70,001","75,000",$799,"$7,990","900,000",$0.0100,
$849,High Volume,"75,001","80,000",$849,"$8,490","960,000",$0.0100,
$899,High Volume,"80,001","85,000",$899,"$8,990","1,020,000",$0.0100,
$949,High Volume,"85,001","90,000",$949,"$9,490","1,080,000",$0.0100,
$999,High Volume,"90,001","95,000",$999,"$9,990","1,140,000",$0.0100,
"$1,049",High Volume,"95,001","100,000","$1,049","$10,490","1,200,000",$0.0100,
"$1,094",High Volume,"100,001","105,000","$1,094","$10,940","1,260,000",$0.0090,
"$1,139",High Volume,"105,001","110,000","$1,139","$11,390","1,320,000",$0.0090,
"$1,184",High Volume,"110,001","115,000","$1,184","$11,840","1,380,000",$0.0090,
"$1,229",High Volume,"115,001","120,000","$1,229","$12,290","1,440,000",$0.0090,
"$1,274",High Volume,"120,001","125,000","$1,274","$12,740","1,500,000",$0.0090,
"$1,319",High Volume,"125,001","130,000","$1,319","$13,190","1,560,000",$0.0090,
"$1,364",High Volume,"130,001","135,000","$1,364","$13,640","1,620,000",$0.0090,
"$1,409",High Volume,"135,001","140,000","$1,409","$14,090","1,680,000",$0.0090,
"$1,454",High Volume,"140,001","145,000","$1,454","$14,540","1,740,000",$0.0090,
"$1,499",High Volume,"145,001","150,000","$1,499","$14,990","1,800,000",$0.0090,
"$1,544",High Volume,"150,001","155,000","$1,544","$15,440","1,860,000",$0.0090,
"$1,589",High Volume,"155,001","160,000","$1,589","$15,890","1,920,000",$0.0090,
"$1,634",High Volume,"160,001","165,000","$1,634","$16,340","1,980,000",$0.0090,
"$1,679",High Volume,"165,001","170,000","$1,679","$16,790","2,040,000",$0.0090,
"$1,724",High Volume,"170,001","175,000","$1,724","$17,240","2,100,000",$0.0090,
"$1,769",High Volume,"175,001","180,000","$1,769","$17,690","2,160,000",$0.0090,
"$1,814",High Volume,"180,001","185,000","$1,814","$18,140","2,220,000",$0.0090,
"$1,859",High Volume,"185,001","190,000","$1,859","$18,590","2,280,000",$0.0090,
"$1,904",High Volume,"190,001","195,000","$1,904","$19,040","2,340,000",$0.0090,
"$1,949",High Volume,"195,001","200,000","$1,949","$19,490","2,400,000",$0.0090,
"$1,994",High Volume,"200,001","205,000","$1,994","$19,940","2,460,000",$0.0090,
"$2,039",High Volume,"205,001","210,000","$2,039","$20,390","2,520,000",$0.0090,
"$2,084",High Volume,"210,001","215,000","$2,084","$20,840","2,580,000",$0.0090,
"$2,129",High Volume,"215,001","220,000","$2,129","$21,290","2,640,000",$0.0090,
"$2,174",High Volume,"220,001","225,000","$2,174","$21,740","2,700,000",$0.0090,
"$2,219",High Volume,"225,001","230,000","$2,219","$22,190","2,760,000",$0.0090,
"$2,264",High Volume,"230,001","235,000","$2,264","$22,640","2,820,000",$0.0090,
"$2,309",High Volume,"235,001","240,000","$2,309","$23,090","2,880,000",$0.0090,
"$2,354",High Volume,"240,001","245,000","$2,354","$23,540","2,940,000",$0.0090,
"$2,399",High Volume,"245,001","250,000","$2,399","$23,990","3,000,000",$0.0090,
"$2,444",High Volume,"250,001","255,000","$2,444","$24,440","3,060,000",$0.0090,
"$2,489",High Volume,"255,001","260,000","$2,489","$24,890","3,120,000",$0.0090,
"$2,534",High Volume,"260,001","265,000","$2,534","$25,340","3,180,000",$0.0090,
"$2,579",High Volume,"265,001","270,000","$2,579","$25,790","3,240,000",$0.0090,
"$2,624",High Volume,"270,001","275,000","$2,624","$26,240","3,300,000",$0.0090,
"$2,669",High Volume,"275,001","280,000","$2,669","$26,690","3,360,000",$0.0090,
"$2,714",High Volume,"280,001","285,000","$2,714","$27,140","3,420,000",$0.0090,
"$2,759",High Volume,"285,001","290,000","$2,759","$27,590","3,480,000",$0.0090,
"$2,804",High Volume,"290,001","295,000","$2,804","$28,040","3,540,000",$0.0090,
"$2,849",High Volume,"295,001","300,000","$2,849","$28,490","3,600,000",$0.0090,
"$2,889",High Volume,"300,001","305,000","$2,889","$28,890","3,660,000",$0.0080,
"$2,929",High Volume,"305,001","310,000","$2,929","$29,290","3,720,000",$0.0080,
"$2,969",High Volume,"310,001","315,000","$2,969","$29,690","3,780,000",$0.0080,
"$3,009",High Volume,"315,001","320,000","$3,009","$30,090","3,840,000",$0.0080,
"$3,049",High Volume,"320,001","325,000","$3,049","$30,490","3,900,000",$0.0080,
"$3,089",High Volume,"325,001","330,000","$3,089","$30,890","3,960,000",$0.0080,
