Plan,Name,Min,Max,Cost,Annual,Send,PPS,
$0,Starter,0,100,$0,$0,unlimited,100,
$49,Basic,101,"2,500",$49,$490,unlimited,$0.0204,
$122,Pro,"2,501","5,000",$122,"$1,220",unlimited,$0.0292,
$184,Business**,"5,001","10,000",$184,"$1,840",unlimited,$0.0124,
$246,High Volume,"10,001","15,000",$246,"$2,460","180,000",$0.0124,
$308,High Volume,"15,001","20,000",$308,"$3,080","240,000",$0.0124,
$370,High Volume,"20,001","25,000",$370,"$3,700","300,000",$0.0124,
$432,High Volume,"25,001","30,000",$432,"$4,320","360,000",$0.0124,
$494,High Volume,"30,001","35,000",$494,"$4,940","420,000",$0.0124,
$556,High Volume,"35,001","40,000",$556,"$5,560","480,000",$0.0124,
$618,High Volume,"40,001","45,000",$618,"$6,180","540,000",$0.0124,
$680,High Volume,"45,001","50,000",$680,"$6,800","600,000",$0.0124,
$742,High Volume,"50,001","55,000",$742,"$7,420","660,000",$0.0124,
$804,High Volume,"55,001","60,000",$804,"$8,040","720,000",$0.0124,
$866,High Volume,"60,001","65,000",$866,"$8,660","780,000",$0.0124,
$928,High Volume,"65,001","70,000",$928,"$9,280","840,000",$0.0124,
$990,High Volume,"70,001","75,000",$990,"$9,900","900,000",$0.0124,
"$1,052",High Volume,"75,001","80,000","$1,052","$10,520","960,000",$0.0124,
"$1,114",High Volume,"80,001","85,000","$1,114","$11,140","1,020,000",$0.0124,
"$1,176",High Volume,"85,001","90,000","$1,176","$11,760","1,080,000",$0.0124,
"$1,238",High Volume,"90,001","95,000","$1,238","$12,380","1,140,000",$0.0124,
"$1,300",High Volume,"95,001","100,000","$1,300","$13,000","1,200,000",$0.0124,
"$1,355",High Volume,"100,001","105,000","$1,355","$13,550","1,260,000",$0.0110,
"$1,410",High Volume,"105,001","110,000","$1,410","$14,100","1,320,000",$0.0110,
"$1,465",High Volume,"110,001","115,000","$1,465","$14,650","1,380,000",$0.0110,
"$1,520",High Volume,"115,001","120,000","$1,520","$15,200","1,440,000",$0.0110,
"$1,575",High Volume,"120,001","125,000","$1,575","$15,750","1,500,000",$0.0110,
"$1,630",High Volume,"125,001","130,000","$1,630","$16,300","1,560,000",$0.0110,
"$1,685",High Volume,"130,001","135,000","$1,685","$16,850","1,620,000",$0.0110,
"$1,740",High Volume,"135,001","140,000","$1,740","$17,400","1,680,000",$0.0110,
"$1,795",High Volume,"140,001","145,000","$1,795","$17,950","1,740,000",$0.0110,
"$1,850",High Volume,"145,001","150,000","$1,850","$18,500","1,800,000",$0.0110,
"$1,905",High Volume,"150,001","155,000","$1,905","$19,050","1,860,000",$0.0110,
"$1,960",High Volume,"155,001","160,000","$1,960","$19,600","1,920,000",$0.0110,
"$2,015",High Volume,"160,001","165,000","$2,015","$20,150","1,980,000",$0.0110,
"$2,070",High Volume,"165,001","170,000","$2,070","$20,700","2,040,000",$0.0110,
"$2,125",High Volume,"170,001","175,000","$2,125","$21,250","2,100,000",$0.0110,
"$2,180",High Volume,"175,001","180,000","$2,180","$21,800","2,160,000",$0.0110,
"$2,235",High Volume,"180,001","185,000","$2,235","$22,350","2,220,000",$0.0110,
"$2,290",High Volume,"185,001","190,000","$2,290","$22,900","2,280,000",$0.0110,
"$2,345",High Volume,"190,001","195,000","$2,345","$23,450","2,340,000",$0.0110,
"$2,400",High Volume,"195,001","200,000","$2,400","$24,000","2,400,000",$0.0110,
"$2,455",High Volume,"200,001","205,000","$2,455","$24,550","2,460,000",$0.0110,
"$2,510",High Volume,"205,001","210,000","$2,510","$25,100","2,520,000",$0.0110,
"$2,565",High Volume,"210,001","215,000","$2,565","$25,650","2,580,000",$0.0110,
"$2,620",High Volume,"215,001","220,000","$2,620","$26,200","2,640,000",$0.0110,
"$2,675",High Volume,"220,001","225,000","$2,675","$26,750","2,700,000",$0.0110,
"$2,730",High Volume,"225,001","230,000","$2,730","$27,300","2,760,000",$0.0110,
"$2,785",High Volume,"230,001","235,000","$2,785","$27,850","2,820,000",$0.0110,
"$2,840",High Volume,"235,001","240,000","$2,840","$28,400","2,880,000",$0.0110,
"$2,895",High Volume,"240,001","245,000","$2,895","$28,950","2,940,000",$0.0110,
"$2,950",High Volume,"245,001","250,000","$2,950","$29,500","3,000,000",$0.0110,
"$3,005",High Volume,"250,001","255,000","$3,005","$30,050","3,060,000",$0.0110,
"$3,060",High Volume,"255,001","260,000","$3,060","$30,600","3,120,000",$0.0110,
"$3,115",High Volume,"260,001","265,000","$3,115","$31,150","3,180,000",$0.0110,
"$3,170",High Volume,"265,001","270,000","$3,170","$31,700","3,240,000",$0.0110,
"$3,225",High Volume,"270,001","275,000","$3,225","$32,250","3,300,000",$0.0110,
