Plan,Min,Max,Cost,Annual,Increase,PPS,Send,Support,
$39,1,"2,500",$39,$390,$10,$0.020,Unlimited,Email,
$49,"2,501","3,000",$49,$490,$10,$0.020,Unlimited,Email,
$59,"3,001","3,500",$59,$590,$10,$0.020,Unlimited,Email,
$69,"3,501","4,000",$69,$690,$10,$0.020,Unlimited,Email,
$79,"4,001","4,500",$79,$790,$10,$0.020,Unlimited,Email,
$89,"4,501","5,000",$89,$890,$10,$0.020,Unlimited,Email,
$99,"5,001","6,000",$99,$990,$10,$0.020,Unlimited,Email and Chat,
$109,"6,001","7,000",$109,"$1,090",$10,$0.018,Unlimited,Email and Chat,
$124,"7,001","8,000",$124,"$1,240",$15,$0.018,Unlimited,Email and Chat,
$139,"8,001","9,000",$139,"$1,390",$15,$0.017,Unlimited,Email and Chat,
$154,"9,001","10,000",$154,"$1,540",$15,$0.017,Unlimited,Email and Chat,
$169,"10,001","12,500",$169,"$1,690",$15,$0.017,Unlimited,Email and Chat,
$209,"12,501","15,000",$209,"$2,090",$40,$0.017,Unlimited,Email and Chat,
$249,"15,001","17,500",$249,"$2,490",$40,$0.017,Unlimited,Email and Chat,
$289,"17,501","20,000",$289,"$2,890",$40,$0.017,Unlimited,Email and Chat,
$329,"20,001","22,500",$329,"$3,290",$40,$0.016,Unlimited,Email and Chat,
$369,"22,501","25,000",$369,"$3,690",$40,$0.016,Unlimited,Email and Chat,
$409,"25,001","27,500",$409,"$4,090",$40,$0.016,Unlimited,Email and Chat,
$449,"27,501","30,000",$449,"$4,490",$40,$0.016,Unlimited,Email and Chat,
$489,"30,001","32,500",$489,"$4,890",$40,$0.016,"390,000",Email and Chat,
$529,"32,501","35,000",$529,"$5,290",$40,$0.016,"420,000",Email and Chat,
$569,"35,001","37,500",$569,"$5,690",$40,$0.016,"450,000",Email and Chat,
$609,"37,501","40,000",$609,"$6,090",$40,$0.016,"480,000",Email and Chat,
$649,"40,001","45,000",$649,"$6,490",$40,$0.016,"540,000",Email and Chat,
$699,"45,001","50,000",$699,"$6,990",$50,$0.016,"600,000",Email and Chat,
$749,"50,001","55,000",$749,"$7,490",$50,$0.015,"660,000",Email and Chat,
$799,"55,001","60,000",$799,"$7,990",$50,$0.015,"720,000",Email and Chat,
$849,"60,001","65,000",$849,"$8,490",$50,$0.014,"780,000",Email and Chat,
$899,"65,001","70,000",$899,"$8,990",$50,$0.014,"840,000",Email and Chat,
$949,"70,001","75,000",$949,"$9,490",$50,$0.014,"900,000",Email and Chat,
$999,"75,001","80,000",$999,"$9,990",$50,$0.013,"960,000",Email and Chat,
"$1,049","80,001","85,000","$1,049","$10,490",$50,$0.013,"1,020,000",Email and Chat,
"$1,099","85,001","90,000","$1,099","$10,990",$50,$0.013,"1,080,000",Email and Chat,
"$1,149","90,001","95,000","$1,149","$11,490",$50,$0.013,"1,140,000",Email and Chat,
"$1,199","95,001","100,000","$1,199","$11,990",$50,$0.013,"1,200,000",Email and Chat,
"$1,249","100,001","105,000","$1,249","$12,490",$50,$0.012,"1,260,000",Email and Chat,
"$1,299","105,001","110,000","$1,299","$12,990",$50,$0.012,"1,320,000",Email and Chat,
"$1,349","110,001","115,000","$1,349","$13,490",$50,$0.012,"1,380,000",Email and Chat,
"$1,399","115,001","120,000","$1,399","$13,990",$50,$0.012,"1,440,000",Email and Chat,
"$1,449","120,001","125,000","$1,449","$14,490",$50,$0.012,"1,500,000",Email and Chat,
"$1,499","125,001","130,000","$1,499","$14,990",$50,$0.012,"1,560,000",Email and Chat,
"$1,549","130,001","135,000","$1,549","$15,490",$50,$0.012,"1,620,000",Email and Chat,
"$1,599","135,001","140,000","$1,599","$15,990",$50,$0.012,"1,680,000",Email and Chat,
"$1,649","140,001","145,000","$1,649","$16,490",$50,$0.012,"1,740,000",Email and Chat,
"$1,699","145,001","150,000","$1,699","$16,990",$50,$0.012,"1,800,000",Email and Chat,
"$1,749","150,001","155,000","$1,749","$17,490",$50,$0.012,"1,860,000",Email and Chat,
"$1,799","155,001","160,000","$1,799","$17,990",$50,$0.012,"1,920,000",Email and Chat,
"$1,849","160,001","165,000","$1,849","$18,490",$50,$0.012,"1,980,000",Email and Chat,
"$1,899","165,001","170,000","$1,899","$18,990",$50,$0.012,"2,040,000",Email and Chat,
